"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1969","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1970","2.26","2.26","2.00","2.95","3.65","4.09","M","1.72","4.38","2.82","3.44","3.51","M"
"1971","1.62","5.08","2.11","1.22","M","3.02","6.56","2.27","2.31","2.05","2.96","3.45","M"
"1972","1.56","3.32","3.38","3.71","4.77","12.30","2.94","2.51","4.42","M","M","M","M"
"1973","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1974","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1975","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1976","M","M","M","M","M","M","3.58","5.12","3.02","7.56","M","M","M"
"1977","M","M","M","4.01","4.05","3.74","3.75","3.27","8.87","M","M","M","M"
"1978","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1979","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1980","M","M","M","M","M","M","2.42","2.15","2.58","3.68","M","2.37","M"
"1981","2.09","4.84","2.93","2.98","2.18","5.93","3.50","2.67","8.76","6.90","2.43","4.14","49.35"
"1982","4.97","2.75","4.76","M","3.68","5.73","3.04","2.02","3.00","2.07","5.05","2.12","M"
"1983","3.19","2.24","3.23","7.56","4.61","3.81","1.46","4.56","2.87","2.29","3.54","7.49","46.85"
"1984","3.07","5.28","2.89","4.91","6.87","3.95","5.40","4.27","3.83","2.88","3.41","M","M"
"1985","3.13","1.81","3.72","1.82","2.81","5.77","2.74","1.21","6.01","2.52","M","3.39","M"
"1986","2.46","1.98","1.92","2.10","4.95","2.74","6.23","4.88","3.44","2.86","3.94","2.75","40.25"
"1987","3.91","1.14","1.72","3.14","2.61","2.79","2.28","3.18","5.84","1.91","2.47","2.45","33.44"
"1988","1.27","2.76","1.11","0.77","1.42","2.70","6.90","3.56","0.64","3.29","2.10","1.67","28.19"
"1989","1.18","1.88","1.32","1.06","5.02","3.54","1.99","3.08","5.38","5.09","M","M","M"
"1990","M","3.17","2.46","3.52","7.60","3.81","2.91","3.83","4.57","8.25","4.11","4.03","M"
"1991","M","1.74","1.31","4.38","3.19","2.22","2.74","4.41","5.32","2.19","M","M","M"
"1992","1.43","1.27","M","3.63","9.76","2.21","10.69","2.92","4.06","4.09","M","3.09","M"
"1993","2.89","M","M","7.01","1.79","M","M","M","M","M","M","M","M"
"1994","M","M","M","3.19","3.13","6.33","2.18","6.90","3.69","1.01","4.72","3.24","M"
"1995","2.56","2.72","1.39","3.13","M","1.86","1.41","3.60","M","M","5.58","3.62","M"
"1996","4.50","2.71","2.33","5.23","5.67","M","M","2.59","4.63","1.79","5.33","5.84","M"
"1997","2.55","2.95","4.61","3.63","3.74","4.05","2.86","3.35","2.84","2.29","4.65","4.30","41.82"
"1998","4.84","4.73","4.38","2.82","4.25","5.10","2.11","3.42","2.35","2.57","3.04","2.36","41.97"
"1999","5.76","1.50","4.48","2.37","2.46","1.70","3.09","1.67","7.50","3.14","2.48","2.49","M"
"2000","5.18","3.95","3.63","5.40","10.37","5.72","3.56","2.77","2.82","2.69","3.35","3.95","53.39"
"2001","1.98","3.24","7.81","1.14","2.77","6.71","M","M","5.53","2.51","2.99","3.19","M"
"2002","2.59","4.61","3.50","4.97","5.50","6.03","2.17","3.09","7.58","4.39","4.87","5.19","54.49"
"2003","3.86","3.77","3.30","3.44","5.66","5.15","5.87","M","6.13","6.80","5.09","5.61","M"
"2004","3.50","2.38","3.24","4.16","5.22","2.51","7.67","7.76","3.91","2.88","5.00","4.57","52.80"
"2005","4.60","3.22","4.39","5.11","1.11","2.91","2.17","3.33","4.20","8.77","M","3.50","M"
"2006","4.68","3.33","3.13","3.46","4.71","11.96","7.80","4.53","4.02","6.85","3.63","3.03","61.13"
"2007","4.76","4.06","5.70","5.53","0.92","4.85","5.33","2.79","5.26","6.17","5.65","6.28","57.30"
"2008","2.14","5.48","6.72","2.99","1.94","4.82","6.32","4.38","2.14","6.29","M","6.19","M"
"2009","3.63","2.34","3.68","3.01","M","5.31","4.84","4.30","3.47","5.24","2.54","3.28","M"
"2010","M","M","M","2.70","2.86","M","M","5.60","M","M","M","M","M"
"2011","3.20","4.43","5.69","7.64","3.77","3.95","1.75","6.57","M","4.33","M","3.71","M"
"2012","4.16","1.26","3.15","3.52","4.63","2.47","1.79","4.60","3.23","4.52","2.09","7.52","M"
"2013","M","2.58","2.72","4.40","6.03","7.44","7.80","2.58","5.35","3.25","M","3.70","M"
"2014","3.05","4.06","3.86","3.39","3.85","5.29","6.07","5.75","2.56","5.00","3.12","4.24","50.24"
"2015","3.88","3.06","2.15","4.09","4.37","7.97","3.82","2.69","3.64","4.01","1.59","3.62","44.90"
"2016","2.79","5.03","2.89","3.08","2.13","4.79","3.66","6.31","2.76","7.35","4.32","3.83","48.94"
"2017","3.76","3.89","5.01","6.43","6.41","6.42","6.23","2.82","2.45","6.45","3.83","M","M"
"2018","M","3.55","5.57","4.07","3.77","3.58","3.87","M","5.66","6.78","M","3.14","M"
"2019","5.26","2.77","M","3.89","5.98","M","M","M","3.31","7.34","5.08","4.71","M"
"2020","3.97","3.94","2.58","4.02","5.23","2.17","8.96","5.04","1.92","4.57","3.39","5.45","51.24"
"2021","3.55","M","1.62","4.01","3.95","2.84","6.05","8.57","3.43","10.07","M","3.42","M"
"2022","M","4.00","4.95","5.41","3.27","4.23","3.35","5.12","6.61","1.46","4.43","4.46","M"
"2023","4.35","2.15","4.58","5.12","3.65","6.80","4.35","M","2.41","5.37","2.89","6.66","M"
"2024","5.12","1.27","4.87","4.01","4.58","5.03","3.39","6.42","1.66","2.57","3.74","3.31","45.97"
"2025","M","M","M","M","M","M","M","M","M","M","M","M","M"
